Raman shift [1/cm],Intensity
1899.61,14.982459
1898.139,16.454247
1896.668,15.135531
1895.197,15.612789
1893.726,13.601376
1892.254,14.509964
1890.783,16.161085
1889.312,19.075998
1887.841,20.078895
1886.37,21.420921
1884.899,21.889237
1883.428,23.494043
1881.957,22.996015
1880.486,23.722326
1879.015,23.920635
1877.543,23.129184
1876.072,20.110329
1874.601,21.76359
1873.13,20.016569
1871.659,22.570301
1870.188,26.75241
1868.717,29.818534
1867.246,32.399476
1865.775,34.822473
1864.304,36.116853
1862.832,38.087508
1861.361,38.775826
1859.89,38.646025
1858.419,37.320687
1856.948,37.006212
1855.477,37.69199
1854.006,38.7844
1852.535,37.653921
1851.064,37.761063
1849.593,38.107746
1848.121,38.013842
1846.65,39.486091
1845.179,38.440896
1843.708,38.476121
1842.237,39.975586
1840.766,40.300965
1839.295,37.986689
1837.824,37.274205
1836.353,39.076147
1834.882,40.066572
1833.41,40.480981
1831.939,39.948106
1830.468,37.50682
1828.997,36.069474
1827.526,37.492114
1826.055,36.873542
1824.584,35.345812
1823.113,33.997881
1821.642,35.446639
1820.171,34.134611
1818.699,34.791178
1817.228,36.384379
1815.757,38.365659
1814.286,39.874674
1812.815,40.703928
1811.344,39.763905
1809.873,39.925096
1808.402,41.035596
1806.931,43.300856
1805.46,43.651898
1803.988,42.63103
1802.517,41.848084
1801.046,43.975519
1799.575,44.217296
1798.104,46.136872
1796.633,44.434895
1795.162,42.79572
1793.691,41.692822
1792.22,41.292474
1790.749,40.479807
1789.277,39.421295
1787.806,39.218263
1786.335,39.129191
1784.864,40.287518
1783.393,40.193606
1781.922,41.09571
1780.451,41.847243
1778.98,44.327542
1777.509,46.066913
1776.038,45.181373
1774.566,44.211335
1773.095,45.926926
1771.624,45.405594
1770.153,46.315429
1768.682,45.947667
1767.211,48.184437
1765.74,48.457135
1764.269,48.78547
1762.798,47.596217
1761.327,47.746876
1759.855,50.191502
1758.384,54.196138
1756.913,55.144341
1755.442,56.512513
1753.971,59.400637
1752.5,65.110284
