,PET,
Raman shift [1/cm],Intensity,
1899.610,9.8623601,
1898.139,14.814655,
1896.668,15.209358,
1895.197,20.224996,
1893.726,13.465075,
1892.254,20.625151,
1890.783,17.152553,
1889.312,18.764353,
1887.841,0.0025412674,
1886.370,24.55695,
1884.899,15.443099,
1883.428,41.240932,
1881.957,32.304256,
1880.486,27.287565,
1879.015,13.202318,
1877.543,20.930742,
1876.072,17.471991,
1874.601,23.491924,
1873.130,15.129506,
1871.659,27.08419,
1870.188,22.644017,
1868.717,23.805031,
1867.246,39.272048,
1865.775,45.803308,
1864.304,21.836992,
1862.832,47.232413,
1861.361,43.279311,
1859.890,30.142551,
1858.419,42.29003,
1856.948,32.995988,
1855.477,36.576836,
1854.006,40.957286,
1852.535,36.205905,
1851.064,30.715067,
1849.593,42.91629,
1848.121,49.718923,
1846.650,35.128741,
1845.179,34.147847,
1843.708,38.628169,
1842.237,32.34634,
1840.766,42.979505,
1839.295,45.647152,
1837.824,38.506397,
1836.353,31.775524,
1834.882,47.393112,
1833.410,41.651374,
1831.939,29.277438,
1830.468,30.214421,
1828.997,47.222673,
1827.526,48.191505,
1826.055,37.507982,
1824.584,29.907895,
1823.113,24.894886,
1821.642,31.224166,
1820.171,41.496391,
1818.699,46.297898,
1817.228,23.669347,
1815.757,34.789942,
1814.286,35.082017,
1812.815,56.716824,
1811.344,34.882869,
1809.873,52.446122,
1808.402,31.616702,
1806.931,37.025291,
1805.460,41.838386,
1803.988,42.319861,
1802.517,41.655202,
1801.046,51.764886,
1799.575,45.119838,
1798.104,46.093495,
1796.633,43.63761,
1795.162,33.80712,
1793.691,49.48043,
1792.220,45.334001,
1790.749,39.911295,
1789.277,35.205839,
1787.806,31.349792,
1786.335,43.461678,
1784.864,44.879304,
1783.393,44.014997,
1781.922,35.800987,
1780.451,34.519287,
1778.980,50.821932,
1777.509,44.533005,
1776.038,51.18375,
1774.566,41.65082,
1773.095,40.86436,
1771.624,50.204393,
1770.153,57.720966,
1768.682,38.986024,
1767.211,33.399749,
1765.740,46.413893,
1764.269,61.56988,
1762.798,40.753916,
1761.327,66.68355,
1759.855,47.889531,
1758.384,53.298207,
1756.913,39.691462,
1755.442,50.493532,
1753.971,61.557461,
1752.500,79.086426,
1751.029,76.2088,
1749.558,71.611841,
1748.087,75.378902,
1746.616,101.8233,
1745.144,104.50314,
1743.673,115.68729,
1742.202,127.08561,
1740.731,148.19646,
1739.260,171.65581,
1737.789,182.08923,
1736.318,208.81326,
1734.847,221.91913,
1733.376,241.18661,
1731.905,275.26003,
1730.433,319.15948,
1728.962,351.80735,
1727.491,381.74605,
1726.020,394.702,
1724.549,366.30172,
1723.078,322.28653,
1721.607,271.93868,
1720.136,226.07954,
1718.665,196.8849,
1717.194,161.58575,
1715.722,148.43098,
1714.251,120.37728,
1712.780,90.841211,
1711.309,105.82835,
1709.838,104.33969,
1708.367,89.281311,
1706.896,67.417874,
1705.425,60.628644,
1703.954,51.896668,
1702.483,59.01962,
1701.011,59.799641,
1699.540,53.758781,
1698.069,43.510054,
1696.598,40.339425,
1695.127,33.255804,
1693.656,45.917928,
1692.185,57.179217,
1690.714,54.274584,
1689.243,37.506249,
1687.772,38.653998,
1686.300,43.744732,
1684.829,38.583803,
1683.358,38.653338,
1681.887,51.335215,
1680.416,48.842381,
1678.945,38.494879,
1677.474,47.140824,
1676.003,53.264164,
1674.532,64.897786,
1673.061,64.361892,
1671.589,55.69664,
1670.118,59.47313,
1668.647,55.517022,
1667.176,51.912313,
1665.705,42.998472,
1664.234,48.321179,
1662.763,51.194227,
1661.292,53.942459,
1659.821,32.693102,
1658.350,41.02627,
1656.878,45.462832,
1655.407,40.179939,
1653.936,49.232963,
1652.465,42.728471,
1650.994,44.659326,
1649.523,46.281109,
1648.052,45.256319,
1646.581,61.5264,
1645.110,47.26107,
1643.639,41.394178,
1642.167,53.485056,
1640.696,64.478523,
1639.225,69.012694,
1637.754,64.246066,
1636.283,74.175024,
1634.812,73.516576,
1633.341,72.179001,
1631.870,89.153021,
1630.399,98.450499,
1628.928,103.75292,
1627.456,123.61897,
1625.985,142.69109,
1624.514,168.88094,
1623.043,219.96789,
1621.572,293.33084,
1620.101,403.21509,
1618.630,519.64942,
1617.159,639.6327,
1615.688,717.19936,
1614.217,766.05053,
1612.745,712.72921,
1611.274,634.20775,
1609.803,515.06775,
1608.332,419.33639,
1606.861,350.07642,
1605.390,277.70824,
1603.919,214.61732,
1602.448,171.46442,
1600.977,153.25759,
1599.506,122.58009,
1598.034,108.56235,
1596.563,86.368535,
1595.092,83.074319,
1593.621,79.700423,
1592.150,78.949455,
1590.679,80.517594,
1589.208,62.56057,
1587.737,53.151791,
1586.266,65.956697,
1584.795,61.50292,
1583.323,63.095116,
1581.852,72.003888,
1580.381,65.667155,
1578.910,66.020874,
1577.439,67.271761,
1575.968,69.448956,
1574.497,57.924474,
1573.026,45.093557,
1571.555,46.70589,
1570.084,68.70977,
1568.612,74.315903,
1567.141,61.60836,
1565.670,59.740586,
1564.199,70.23859,
1562.728,64.665658,
1561.257,52.306642,
1559.786,54.627337,
1558.315,56.556149,
1556.844,52.549929,
1555.373,48.838864,
1553.901,62.34387,
1552.430,67.637133,
1550.959,40.03735,
1549.488,64.417233,
1548.017,64.120086,
1546.546,77.791898,
1545.075,71.154007,
1543.604,53.577516,
1542.133,59.096841,
1540.662,67.3787,
1539.190,63.858268,
1537.719,63.816114,
1536.248,70.022741,
1534.777,64.829819,
1533.306,49.615951,
1531.835,50.449087,
1530.364,76.006569,
1528.893,66.052886,
1527.422,62.581338,
1525.951,61.798212,
1524.479,67.671219,
1523.008,59.618844,
