Raman shift [1/cm],Intensity
1900.189,13.009658
1898.718,14.182427
1897.247,22.040626
1895.776,28.609219
1894.305,33.951899
1892.834,46.0387
1891.362,54.22197
1889.891,65.141993
1888.42,76.448015
1886.949,83.804198
1885.478,92.516254
1884.007,101.40653
1882.536,106.63617
1881.065,115.09577
1879.594,123.53843
1878.123,131.8229
1876.651,135.85874
1875.18,144.70942
1873.709,153.53586
1872.238,166.21576
1870.767,173.27635
1869.296,182.8029
1867.825,188.76901
1866.354,190.95686
1864.883,197.64176
1863.412,205.59767
1861.94,212.46235
1860.469,220.5421
1858.998,225.52472
1857.527,232.76932
1856.056,238.58575
1854.585,255.67219
1853.114,262.09561
1851.643,273.68249
1850.172,281.60917
1848.701,287.18969
1847.229,289.00862
1845.758,290.65123
1844.287,293.68736
1842.816,296.76146
1841.345,298.66732
1839.874,303.17621
1838.403,307.45071
1836.932,313.63409
1835.461,320.77904
1833.99,327.67579
1832.518,332.98918
1831.047,344.8194
1829.576,359.03117
1828.105,375.87121
1826.634,366.73742
1825.163,357.71717
1823.692,352.48312
1822.221,341.0694
1820.75,333.65208
1819.279,336.20451
1817.807,338.70502
1816.336,341.55497
1814.865,351.10201
1813.394,359.26777
1811.923,374.75121
1810.452,394.57169
1808.981,411.94832
1807.51,421.92428
1806.039,416.23016
1804.568,419.8768
1803.096,422.80414
1801.625,418.41697
1800.154,420.51638
1798.683,421.99375
1797.212,418.84099
1795.741,418.77053
1794.27,419.34455
1792.799,418.32123
1791.328,421.90822
1789.857,418.4186
1788.385,419.21088
1786.914,417.65883
1785.443,418.1024
1783.972,419.84138
1782.501,418.87319
1781.03,422.15804
1779.559,418.87668
1778.088,414.95015
1776.617,409.42218
1775.146,413.03733
1773.674,416.17104
1772.203,419.49214
1770.732,422.07719
1769.261,426.60603
1767.79,433.42918
1766.319,434.69419
1764.848,434.28488
1763.377,433.73613
1761.906,430.30478
1760.435,428.65292
1758.963,420.41399
1757.492,417.87818
1756.021,416.91833
1754.55,423.19658
1753.079,424.15288
1751.608,425.62071
1750.137,425.91633
1748.666,428.05492
1747.195,431.63276
1745.724,433.02419
1744.252,431.51506
1742.781,434.5794
1741.31,437.17378
1739.839,437.75429
1738.368,438.94154
1736.897,439.41406
1735.426,440.80908
1733.955,442.29511
1732.484,439.64318
1731.013,441.54883
1729.541,442.48153
1728.07,443.47819
1726.599,447.44603
1725.128,452.38968
1723.657,461.40765
1722.186,464.49402
1720.715,463.60507
1719.244,461.21934
1717.773,460.95639
1716.302,458.16585
1714.83,457.88313
1713.359,455.82939
1711.888,452.52667
1710.417,452.1985
1708.946,450.05887
1707.475,449.46693
1706.004,451.11518
1704.533,456.42255
1703.062,459.70854
1701.591,455.8036
1700.119,458.77549
1698.648,460.78798
1697.177,467.26307
1695.706,471.08704
1694.235,475.54885
1692.764,478.1606
1691.293,478.25554
1689.822,481.67863
1688.351,485.39762
1686.88,488.88533
1685.408,492.01445
1683.937,493.67482
1682.466,494.72088
1680.995,492.94708
1679.524,490.27482
1678.053,490.6495
1676.582,493.70717
1675.111,491.52398
1673.64,488.03421
1672.169,485.64776
1670.697,487.13255
1669.226,492.38628
1667.755,486.46596
1666.284,487.02046
1664.813,488.1337
1663.342,497.16666
1661.871,494.21571
1660.4,494.84535
1658.929,500.68564
1657.458,516.40808
1655.986,528.1772
1654.515,539.45561
1653.044,551.77611
1651.573,562.15546
1650.102,571.68822
1648.631,568.49992
1647.16,557.17992
1645.689,557.15696
1644.218,550.09185
1642.747,537.54573
1641.275,516.12258
1639.804,506.30019
1638.333,498.18047
1636.862,496.0502
1635.391,492.0954
1633.92,489.61281
1632.449,486.69768
1630.978,483.92069
1629.507,486.62708
1628.036,485.25015
1626.564,485.34139
1625.093,486.00489
1623.622,483.81254
1622.151,477.66942
1620.68,480.42317
1619.209,481.04258
1617.738,483.0617
1616.267,485.40648
1614.796,481.12869
1613.325,478.00562
1611.853,478.72536
1610.382,486.89947
1608.911,495.61102
1607.44,499.39632
1605.969,500.79734
1604.498,509.1874
1603.027,519.35795
1601.556,521.94278
1600.085,525.25924
1598.614,524.69717
1597.142,525.5464
1595.671,525.09347
1594.2,524.48372
1592.729,524.93985
1591.258,525.60437
1589.787,530.04175
1588.316,530.91303
1586.845,529.89522
1585.374,533.72593
1583.903,550.459
1582.431,556.36347
1580.96,552.00642
1579.489,551.75515
1578.018,556.7322
1576.547,563.0357
1575.076,569.85964
1573.605,578.19027
1572.134,585.10955
1570.663,590.65425
1569.192,598.92272
1567.72,609.80519
1566.249,619.09755
1564.778,624.81683
1563.307,635.14004
1561.836,637.79099
1560.365,634.22221
1558.894,637.9366
1557.423,646.11016
1555.952,645.39051
1554.481,642.04914
1553.009,638.46043
1551.538,634.67427
1550.067,629.27819
1548.596,631.52294
1547.125,641.46918
1545.654,644.58334
1544.183,648.40684
1542.712,660.04726
1541.241,659.37645
1539.77,659.10615
1538.298,669.94564
1536.827,681.60379
